step,epoch,val_acc,val_loss,val_f1,train_acc,train_loss
383,0.5,0.9748762847354396,0.09981595724821091,0.9663608562691132,0.987,0.05647037550806999
766,1.0,0.9699276741530263,0.0965818539261818,0.9607940446650124,0.992,0.026451878249645233
1149,1.5,0.9840121811952798,0.06701068580150604,0.9785056294779939,0.997,0.012281166389584541
1532,2.0,0.9794442329653598,0.10888586193323135,0.9719334719334719,0.995,0.02688916027545929
1915,2.5,0.9874381423677199,0.06044885143637657,0.9832231825114387,0.998,0.007227908354252577
2298,3.0,0.9878188047202132,0.06435736268758774,0.9836567926455567,0.9995,0.003690477693453431
